original_text,caption_text,threshold,internal_topic_1,internal_topic_2,threshold_value,topic_id_1,topic_id_2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
detritos confinados,Debris from fire,Signal,Fires and Collapses,,general.alert3,188118,,ForeignMinister,Debris from fire,,portugal_emergency_response_topic_threshold_mapping,13ba7ff0e61250ef3ae6905c5aeccffe,portugal_emergency_response_topic_threshold_mapping__13ba7ff0e61250ef3ae6905c5aeccffe
detritos não confinados,Debris from fire,Signal,Fires and Collapses,,general.alert3,188118,,IndustryTerm,Debris from fire,,portugal_emergency_response_topic_threshold_mapping,13ba7ff0e61250ef3ae6905c5aeccffe,portugal_emergency_response_topic_threshold_mapping__13ba7ff0e61250ef3ae6905c5aeccffe
equipamentos,Fire,Signal,Fires and Collapses,,general.alert3,188118,,IndustryTerm,Fire,,portugal_emergency_response_topic_threshold_mapping,bd2b7e5f85a6ea65065c4ebc6d7c95bb,portugal_emergency_response_topic_threshold_mapping__bd2b7e5f85a6ea65065c4ebc6d7c95bb
produtos,Fire,Signal,Fires and Collapses,,general.alert3,188118,,Shipping,Fire,,portugal_emergency_response_topic_threshold_mapping,bd2b7e5f85a6ea65065c4ebc6d7c95bb,portugal_emergency_response_topic_threshold_mapping__bd2b7e5f85a6ea65065c4ebc6d7c95bb
aéreo,Aircraft fire,Signal,Fires and Collapses,Aviation - Safety,general.alert3,188118,188128,Legislator,Aircraft fire,,portugal_emergency_response_topic_threshold_mapping,7306a836a96893bd19e5943dcf2dcc96,portugal_emergency_response_topic_threshold_mapping__7306a836a96893bd19e5943dcf2dcc96
aquático,Fire reported on water,Signal,Fires and Collapses,Maritime - Safety,general.alert3,188118,188131,Shipping,Fire reported on water,,portugal_emergency_response_topic_threshold_mapping,e73370b93729b80426116de1698e4778,portugal_emergency_response_topic_threshold_mapping__e73370b93729b80426116de1698e4778
ferroviário,Train fire,Signal,Fires and Collapses,Rail - Safety,general.alert3,188118,188129,ForeignMinistry,Train fire,,portugal_emergency_response_topic_threshold_mapping,66a15356fc808c0535615da75b1161e4,portugal_emergency_response_topic_threshold_mapping__66a15356fc808c0535615da75b1161e4
rodoviário,Fire on road,Signal,Fires and Collapses,Roadways - Safety,general.alert3,188118,188130,Diplomat,Fire on road,,portugal_emergency_response_topic_threshold_mapping,595f24b11687c0ed855ba05b8b55e02b,portugal_emergency_response_topic_threshold_mapping__595f24b11687c0ed855ba05b8b55e02b
agrícola,Brush fire,Signal,Fires and Collapses,,general.alert3,188118,,Consulates,Brush fire,,portugal_emergency_response_topic_threshold_mapping,49e96b8679d4c6f63de12c407487dbda,portugal_emergency_response_topic_threshold_mapping__49e96b8679d4c6f63de12c407487dbda
consolidação de rescaldo,Brush fire,Signal,Fires and Collapses,,general.alert3,188118,,Diplomat,Brush fire,,portugal_emergency_response_topic_threshold_mapping,49e96b8679d4c6f63de12c407487dbda,portugal_emergency_response_topic_threshold_mapping__49e96b8679d4c6f63de12c407487dbda
gestão de combustível,Brush fire,Signal,Fires and Collapses,,general.alert3,188118,,Consulates,Brush fire,,portugal_emergency_response_topic_threshold_mapping,49e96b8679d4c6f63de12c407487dbda,portugal_emergency_response_topic_threshold_mapping__49e96b8679d4c6f63de12c407487dbda
mato,Brush fire,Signal,Fires and Collapses,,general.alert3,188118,,Exec,Brush fire,,portugal_emergency_response_topic_threshold_mapping,49e96b8679d4c6f63de12c407487dbda,portugal_emergency_response_topic_threshold_mapping__49e96b8679d4c6f63de12c407487dbda
povoamento florestal,Brush fire,Signal,Fires and Collapses,,general.alert3,188118,,LegislativeCommittee,Brush fire,,portugal_emergency_response_topic_threshold_mapping,49e96b8679d4c6f63de12c407487dbda,portugal_emergency_response_topic_threshold_mapping__49e96b8679d4c6f63de12c407487dbda
queima,Brush fire,Signal,Fires and Collapses,,general.alert3,188118,,AAEntity,Brush fire,,portugal_emergency_response_topic_threshold_mapping,49e96b8679d4c6f63de12c407487dbda,portugal_emergency_response_topic_threshold_mapping__49e96b8679d4c6f63de12c407487dbda
áreas comerciais e gares de transportes,Fire,Signal,Fires and Collapses,,general.alert3,188118,,Exec,Fire,,portugal_emergency_response_topic_threshold_mapping,bd2b7e5f85a6ea65065c4ebc6d7c95bb,portugal_emergency_response_topic_threshold_mapping__bd2b7e5f85a6ea65065c4ebc6d7c95bb
bibliotecas e arquivos,Structure fire at library,Signal,Fires and Collapses,,general.alert3,188118,,Refinery,Structure fire at library,,portugal_emergency_response_topic_threshold_mapping,8aff316efcd25198c746a2e9ebf57267,portugal_emergency_response_topic_threshold_mapping__8aff316efcd25198c746a2e9ebf57267
desporto e lazer,Fire,Signal,Fires and Collapses,,general.alert3,188118,,Consulates,Fire,,portugal_emergency_response_topic_threshold_mapping,bd2b7e5f85a6ea65065c4ebc6d7c95bb,portugal_emergency_response_topic_threshold_mapping__bd2b7e5f85a6ea65065c4ebc6d7c95bb
edifícios degradados ou devolutos,Fire at vacant building,Signal,Fires and Collapses,,general.alert3,188118,,Exec,Fire at vacant building,,portugal_emergency_response_topic_threshold_mapping,f6cbea870befd3ccd8b659db93ded587,portugal_emergency_response_topic_threshold_mapping__f6cbea870befd3ccd8b659db93ded587
espectáculos e reuniões públicas,Fire,Signal,Fires and Collapses,,general.alert3,188118,,DiplomaticFacilities,Fire,,portugal_emergency_response_topic_threshold_mapping,bd2b7e5f85a6ea65065c4ebc6d7c95bb,portugal_emergency_response_topic_threshold_mapping__bd2b7e5f85a6ea65065c4ebc6d7c95bb
estacionamento de superfície,Fire,Signal,Fires and Collapses,,general.alert3,188118,,LegislativeCommittee,Fire,,portugal_emergency_response_topic_threshold_mapping,bd2b7e5f85a6ea65065c4ebc6d7c95bb,portugal_emergency_response_topic_threshold_mapping__bd2b7e5f85a6ea65065c4ebc6d7c95bb
estacionamento em profundidade ou silo,Fire,Signal,Fires and Collapses,,general.alert3,188118,,Keyphrase,Fire,,portugal_emergency_response_topic_threshold_mapping,bd2b7e5f85a6ea65065c4ebc6d7c95bb,portugal_emergency_response_topic_threshold_mapping__bd2b7e5f85a6ea65065c4ebc6d7c95bb
habitacional,Structure fire at residence,Signal,Fires and Collapses,,general.alert3,188118,,ForeignMinister,Structure fire at residence,,portugal_emergency_response_topic_threshold_mapping,b817b400cbd9af6ecdca545d03dcf0b6,portugal_emergency_response_topic_threshold_mapping__b817b400cbd9af6ecdca545d03dcf0b6
hospitalares e lares de idosos,Structure fire at medical facility,Local Urgent,Fires and Collapses,Infrastructure - Medical,general.alert2.local,188118,188115,LegislativeCommittee,Structure fire at medical facility,,portugal_emergency_response_topic_threshold_mapping,87eb5bb305c7c577429a2e7bbcc237d0,portugal_emergency_response_topic_threshold_mapping__87eb5bb305c7c577429a2e7bbcc237d0
hotelaria e restauração,Structure fire,Signal,Fires and Collapses,Infrastructure - Commercial,general.alert3,188118,188208,CompanyKeyword,Structure fire,,portugal_emergency_response_topic_threshold_mapping,b781125398fa10fbdeaabd80da123ce8,portugal_emergency_response_topic_threshold_mapping__b781125398fa10fbdeaabd80da123ce8
"indústria, oficina e armazém",Warehouse fire,Signal,Fires and Collapses,Infrastructure - Commercial,general.alert3,188118,188208,Pipeline,Warehouse fire,,portugal_emergency_response_topic_threshold_mapping,a76e6e814a5750066198f88ab47c233c,portugal_emergency_response_topic_threshold_mapping__a76e6e814a5750066198f88ab47c233c
"militar, forças de segurança e forças de socorro",Fire,Signal,Fires and Collapses,Infrastructure - Government,general.alert3,188118,188298,Legislator,Fire,,portugal_emergency_response_topic_threshold_mapping,bd2b7e5f85a6ea65065c4ebc6d7c95bb,portugal_emergency_response_topic_threshold_mapping__bd2b7e5f85a6ea65065c4ebc6d7c95bb
museus e galerias de arte,Structure fire at museum,Signal,Fires and Collapses,,general.alert3,188118,,ForeignMinister,Structure fire at museum,,portugal_emergency_response_topic_threshold_mapping,6ac7c81866079ccefe1f46839dae5c03,portugal_emergency_response_topic_threshold_mapping__6ac7c81866079ccefe1f46839dae5c03
parque escolar,Structure fire at school,Local Urgent,Fires and Collapses,,general.alert2.local,188118,,Media,Structure fire at school,,portugal_emergency_response_topic_threshold_mapping,da6d9a00dc39eba3f79a0b974d5f4fc7,portugal_emergency_response_topic_threshold_mapping__da6d9a00dc39eba3f79a0b974d5f4fc7
serviços administrativos,Fire,Signal,Fires and Collapses,,general.alert3,188118,,Pipeline,Fire,,portugal_emergency_response_topic_threshold_mapping,bd2b7e5f85a6ea65065c4ebc6d7c95bb,portugal_emergency_response_topic_threshold_mapping__bd2b7e5f85a6ea65065c4ebc6d7c95bb
agressão/violação,Assault,Local Urgent,Crime - Active Threat,,general.alert2.local,188296,,ForeignMinistry,Assault,,portugal_emergency_response_topic_threshold_mapping,636065b2f2a8255a8dc4ff43e54cb286,portugal_emergency_response_topic_threshold_mapping__636065b2f2a8255a8dc4ff43e54cb286
ameaça de explosão,Bomb threat,National Urgent,Crime - Active Threat,,general.alert2,188296,,ForeignMinistry,Bomb threat,,portugal_emergency_response_topic_threshold_mapping,889632a45ebd3e8b2fbf78f273bd3bf2,portugal_emergency_response_topic_threshold_mapping__889632a45ebd3e8b2fbf78f273bd3bf2
apoio às forças de segurança,Security support requested,Local Urgent,Crime - Active Threat,,general.alert2.local,188296,,FTO,Security support requested,,portugal_emergency_response_topic_threshold_mapping,ccb1cc580128d49d7d67c9258cd6f17b,portugal_emergency_response_topic_threshold_mapping__ccb1cc580128d49d7d67c9258cd6f17b
explosão,Explosion,Local Urgent,Crime - Active Threat,,general.alert2.local,188296,,IndustryTerm,Explosion,,portugal_emergency_response_topic_threshold_mapping,8a36c0d6cc2e31990ea4fb2d597db968,portugal_emergency_response_topic_threshold_mapping__8a36c0d6cc2e31990ea4fb2d597db968
motim,Riot,Local Urgent,Public Disruption,,general.alert2.local,188108,,Person,Riot,,portugal_emergency_response_topic_threshold_mapping,10c889c19aede5c855f07925611fa888,portugal_emergency_response_topic_threshold_mapping__10c889c19aede5c855f07925611fa888
remoção e/ou transporte de cadáver,Body removed,Signal,Crime - No Active Threat,,general.alert3,188297,,Wells,Body removed,,portugal_emergency_response_topic_threshold_mapping,f8dae7396d0ed28509c515a980ba6cfc,portugal_emergency_response_topic_threshold_mapping__f8dae7396d0ed28509c515a980ba6cfc
suicídio/homicídio consumado,Death,Local Urgent,Crime - Active Threat,,general.alert2.local,188296,,space,Death,,portugal_emergency_response_topic_threshold_mapping,6097f89e3092d4ccd249c9d479785c1f,portugal_emergency_response_topic_threshold_mapping__6097f89e3092d4ccd249c9d479785c1f
suicídio/homicídio na forma tentada,Violent incident,Local Urgent,Crime - Active Threat,,general.alert2.local,188296,,News,Violent incident,,portugal_emergency_response_topic_threshold_mapping,2cf2a83ad7c5d911c386c16072752aa3,portugal_emergency_response_topic_threshold_mapping__2cf2a83ad7c5d911c386c16072752aa3
deslocações em formação,Official transport,Local Signal,Roadways - Safety,,general.alert4,188130,,ForeignMinister,Official transport,,portugal_emergency_response_topic_threshold_mapping,e49ca190da660f461d52bd3088b462ca,portugal_emergency_response_topic_threshold_mapping__e49ca190da660f461d52bd3088b462ca
deslocações em serviço geral,Official transport,Hyperspecific,Roadways - Safety,,general.alert5,188130,,AAEntity,Official transport,,portugal_emergency_response_topic_threshold_mapping,e49ca190da660f461d52bd3088b462ca,portugal_emergency_response_topic_threshold_mapping__e49ca190da660f461d52bd3088b462ca
deslocações oficiais,Official transport,Hyperspecific,Roadways - Safety,,general.alert5,188130,,CompanyKeyword,Official transport,,portugal_emergency_response_topic_threshold_mapping,e49ca190da660f461d52bd3088b462ca,portugal_emergency_response_topic_threshold_mapping__e49ca190da660f461d52bd3088b462ca
exercício ou simulacro,Official exercises,Local Signal,Roadways - Safety,,general.alert4,188130,,CompanyKeyword,Official exercises,,portugal_emergency_response_topic_threshold_mapping,24762b7b357ad8dcc95fa8be39e6d553,portugal_emergency_response_topic_threshold_mapping__24762b7b357ad8dcc95fa8be39e6d553
missões internacionais de assistência,Official relief operation,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Shipping,Official relief operation,,portugal_emergency_response_topic_threshold_mapping,cc2942528b6b7effe3ba018e23b1c82b,portugal_emergency_response_topic_threshold_mapping__cc2942528b6b7effe3ba018e23b1c82b
missões internacionais em socorro,Official relief operation,Hyperspecific,Roadways - Safety,,general.alert5,188130,,CompanyKeyword,Official relief operation,,portugal_emergency_response_topic_threshold_mapping,cc2942528b6b7effe3ba018e23b1c82b,portugal_emergency_response_topic_threshold_mapping__cc2942528b6b7effe3ba018e23b1c82b
operações nacionais de assistência,Official relief operation,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Diplomat,Official relief operation,,portugal_emergency_response_topic_threshold_mapping,cc2942528b6b7effe3ba018e23b1c82b,portugal_emergency_response_topic_threshold_mapping__cc2942528b6b7effe3ba018e23b1c82b
operações nacionais de socorro,Official relief operation,Hyperspecific,Roadways - Safety,,general.alert5,188130,,space,Official relief operation,,portugal_emergency_response_topic_threshold_mapping,cc2942528b6b7effe3ba018e23b1c82b,portugal_emergency_response_topic_threshold_mapping__cc2942528b6b7effe3ba018e23b1c82b
pré-posicionamento de meios,Media staging,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Legislator,Media staging,,portugal_emergency_response_topic_threshold_mapping,bf6e7649f4ff1bb9d01fd6959dd03962,portugal_emergency_response_topic_threshold_mapping__bf6e7649f4ff1bb9d01fd6959dd03962
pré-posicionamento de meios decif,Media staging,Hyperspecific,Roadways - Safety,,general.alert5,188130,,AAEntity,Media staging,,portugal_emergency_response_topic_threshold_mapping,bf6e7649f4ff1bb9d01fd6959dd03962,portugal_emergency_response_topic_threshold_mapping__bf6e7649f4ff1bb9d01fd6959dd03962
reconhecimento aéreo,Aerial surveillance,Hyperspecific,Aviation - Safety,,general.alert5,188128,,Person,Aerial surveillance,,portugal_emergency_response_topic_threshold_mapping,b6e6015da0c8d0422be313925263b959,portugal_emergency_response_topic_threshold_mapping__b6e6015da0c8d0422be313925263b959
rendição de meios,Official operation,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Pipeline,Official operation,,portugal_emergency_response_topic_threshold_mapping,871a4201e0eac358831488f55db676b5,portugal_emergency_response_topic_threshold_mapping__871a4201e0eac358831488f55db676b5
reposicionamento de meios aéreos,Aerial media reported,Hyperspecific,Aviation - Safety,,general.alert5,188128,,Wells,Aerial media reported,,portugal_emergency_response_topic_threshold_mapping,2012b4a9539d41ff3cf9a38f93a95076,portugal_emergency_response_topic_threshold_mapping__2012b4a9539d41ff3cf9a38f93a95076
